iter	RMSE
0	1.271882632
1	1.270362784
2	1.268837233
3	1.267105405
4	1.265148046
5	1.263468663
6	1.262391664
7	1.260902411
8	1.259536221
9	1.258281629
10	1.257433786
11	1.256423806
12	1.255369071
13	1.254420099
14	1.253417877
15	1.252715116
16	1.252046094
17	1.251238462
18	1.250363236
19	1.249772256
20	1.249247015
21	1.24868744
22	1.248439105
23	1.247827735
24	1.247210997
25	1.246674956
26	1.246015376
27	1.245403923
28	1.244812393
29	1.244604689
30	1.244283846
31	1.243725859
32	1.243614512
33	1.243217461
34	1.242840752
35	1.242241705
36	1.24175205
37	1.241067595
38	1.240653263
39	1.240331574
40	1.240085996
41	1.239762377
42	1.239369162
43	1.239249285
44	1.239034842
45	1.238615222
46	1.238303412
47	1.238004512
48	1.237432373
49	1.237069166
50	1.236879729
51	1.236388855
52	1.2357425
53	1.235379798
54	1.23520632
55	1.234807576
56	1.234337102
57	1.234043643
58	1.233596773
59	1.233338252
60	1.233062944
61	1.232607831
62	1.232338436
63	1.232117026
64	1.23195881
65	1.231761237
66	1.231185367
67	1.231027591
68	1.230861365
69	1.230460792
70	1.230295264
71	1.22998285
72	1.229670494
73	1.229413661
74	1.229125653
75	1.228837999
76	1.22842074
77	1.228121336
78	1.22786635
79	1.227690156
80	1.227456315
81	1.227287142
82	1.227085181
83	1.226848303
84	1.226525813
85	1.226232026
86	1.22603438
87	1.225717885
88	1.225611828
89	1.225324315
90	1.225005216
91	1.224586848
92	1.22436304
93	1.223962366
94	1.223792297
95	1.22356171
96	1.223204129
97	1.222982882
98	1.222729169
99	1.222596393
100	1.222472206
101	1.222447088
102	1.222213375
103	1.221875567
104	1.221625298
105	1.221211947
106	1.221079251
107	1.220837102
108	1.220651828
109	1.220494651
110	1.220215225
111	1.219751235
112	1.219438315
113	1.219248839
114	1.219089523
115	1.218912691
116	1.218737781
117	1.218658835
118	1.218540155
119	1.218450939
120	1.218245422
121	1.218039952
122	1.217782241
123	1.217638495
124	1.217495367
125	1.217394846
126	1.217110966
127	1.216991408
128	1.216830996
129	1.216685496
130	1.216519992
131	1.216296179
132	1.216120078
133	1.215875872
134	1.215646769
135	1.215503275
136	1.215278226
137	1.215161623
138	1.214902127
139	1.214675827
140	1.214444125
141	1.214219511
142	1.213917869
143	1.213803945
144	1.213490341
145	1.213325173
146	1.213124869
147	1.212850965
148	1.212691525
149	1.212579864
150	1.21242525
151	1.212294432
152	1.212116354
153	1.211963706
154	1.211869546
155	1.211677172
156	1.211489508
157	1.211437794
158	1.211124673
159	1.21087107
160	1.210700341
161	1.210457301
162	1.210323058
163	1.210154034
164	1.210072593
165	1.209801406
166	1.20965233
167	1.209401825
168	1.209262661
169	1.209140581
170	1.209031823
171	1.208861463
172	1.208630254
173	1.208381831
174	1.208229666
175	1.207924
176	1.207678269
177	1.207592729
178	1.20732991
179	1.207248888
180	1.207126334
181	1.206992983
182	1.206828014
183	1.206630563
184	1.206498127
185	1.206341754
186	1.206200006
187	1.205943487
188	1.205782649
189	1.205674612
190	1.205456119
191	1.205227808
192	1.204981913
193	1.204869371
194	1.204636603
195	1.204592427
196	1.204531756
197	1.204319706
198	1.203972245
